epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,914.944,0.49764,0.61302,0.94273,0.65101,0.74441,0.71008,0.64986,0.38104,0.50225,0.8875,0.004456,0.004456,0.004456
58,931.243,0.48597,0.59648,0.93862,0.71856,0.69843,0.70853,0.64614,0.38006,0.49143,0.88908,0.004357,0.004357,0.004357
59,947.613,0.48496,0.5905,0.93728,0.84851,0.62166,0.72059,0.65269,0.3867,0.49362,0.89209,0.004258,0.004258,0.004258
60,963.999,0.49018,0.59731,0.93679,0.70106,0.73514,0.73308,0.66992,0.37565,0.50025,0.88327,0.004159,0.004159,0.004159
61,980.396,0.48917,0.59117,0.93818,0.66365,0.73379,0.70356,0.64373,0.37989,0.50134,0.88905,0.00406,0.00406,0.00406
62,996.922,0.47723,0.58719,0.9333,0.60085,0.81475,0.72986,0.65513,0.37216,0.51361,0.88409,0.003961,0.003961,0.003961
63,1013.19,0.48724,0.59594,0.93288,0.73752,0.72781,0.72283,0.65648,0.37907,0.50158,0.88777,0.003862,0.003862,0.003862
64,1029.49,0.47833,0.58729,0.93673,0.71125,0.77707,0.7466,0.68104,0.36548,0.50453,0.88733,0.003763,0.003763,0.003763
65,1045.73,0.47501,0.58388,0.93256,0.73473,0.72049,0.70562,0.64726,0.35823,0.4981,0.88044,0.003664,0.003664,0.003664
66,1062.13,0.46555,0.58108,0.92576,0.7237,0.73528,0.73077,0.66302,0.38174,0.5062,0.88965,0.003565,0.003565,0.003565
67,1078.51,0.4705,0.58755,0.92876,0.71098,0.77204,0.73732,0.6719,0.36002,0.48685,0.8823,0.003466,0.003466,0.003466
68,1094.32,0.47238,0.58535,0.93722,0.67185,0.78984,0.72367,0.66026,0.38674,0.48549,0.88766,0.003367,0.003367,0.003367
69,1110.27,0.47204,0.57852,0.93203,0.88278,0.62445,0.73268,0.66717,0.36542,0.46642,0.87896,0.003268,0.003268,0.003268
70,1126.49,0.46771,0.57894,0.92918,0.65292,0.78765,0.75781,0.70115,0.35053,0.48314,0.87537,0.003169,0.003169,0.003169
71,1142.8,0.46259,0.57604,0.92353,0.67324,0.75843,0.74398,0.68407,0.35586,0.47914,0.87436,0.00307,0.00307,0.00307
72,1159.27,0.46977,0.57786,0.93023,0.57889,0.82705,0.72719,0.6686,0.35998,0.48137,0.8837,0.002971,0.002971,0.002971
73,1175.67,0.45789,0.57357,0.92383,0.59541,0.81239,0.75058,0.68757,0.33666,0.47339,0.87135,0.002872,0.002872,0.002872
74,1191.84,0.46181,0.56936,0.92407,0.65513,0.8195,0.74807,0.68621,0.3371,0.46901,0.86897,0.002773,0.002773,0.002773
75,1207.63,0.46057,0.56803,0.92665,0.64262,0.80681,0.73225,0.66985,0.34216,0.468,0.87135,0.002674,0.002674,0.002674
76,1223.39,0.45582,0.57278,0.92241,0.67146,0.78518,0.74913,0.69128,0.34618,0.4674,0.87397,0.002575,0.002575,0.002575
77,1239.62,0.44848,0.56246,0.92128,0.83862,0.61513,0.74814,0.69062,0.33604,0.46007,0.87144,0.002476,0.002476,0.002476
78,1255.83,0.45363,0.56462,0.92174,0.6902,0.7345,0.73668,0.67786,0.34044,0.4786,0.87216,0.002377,0.002377,0.002377
79,1272.16,0.45785,0.56293,0.92166,0.68571,0.7966,0.76924,0.71147,0.3429,0.47427,0.87223,0.002278,0.002278,0.002278
